Timestamp,PV,SP,OUTPUT
2026-06-22T17:16:00.443202,-3.3,100.0,95.0
2026-06-22T17:16:02.429011,-3.3,100.0,95.0
2026-06-22T17:16:04.414806,-3.3,100.0,95.0
2026-06-22T17:16:06.416611,-3.3,100.0,95.0
2026-06-22T17:16:08.434507,-3.3,100.0,95.0
2026-06-22T17:16:10.436193,-3.3,100.0,95.0
2026-06-22T17:16:12.422059,-3.3,100.0,95.0
2026-06-22T17:16:14.423766,-3.3,100.0,95.0
2026-06-22T17:16:16.409727,-3.3,100.0,95.0
2026-06-22T17:16:18.443411,-3.3,100.0,95.0
2026-06-22T17:16:20.429084,-3.3,100.0,95.0
2026-06-22T17:16:22.414921,-3.3,100.0,95.0
2026-06-22T17:16:24.416644,-3.3,100.0,95.0
2026-06-22T17:16:26.434579,-3.3,100.0,95.0
2026-06-22T17:16:28.436305,-3.3,100.0,95.0
2026-06-22T17:16:30.486168,-3.3,100.0,95.0
2026-06-22T17:16:32.423855,-3.3,100.0,95.0
2026-06-22T17:16:34.409731,-3.3,100.0,95.0
2026-06-22T17:16:36.443601,-3.3,100.0,95.0
2026-06-22T17:16:38.429247,-3.3,100.0,95.0
2026-06-22T17:16:40.414917,-3.3,100.0,95.0
2026-06-22T17:16:42.416752,-3.3,100.0,95.0
2026-06-22T17:16:44.434520,-3.3,100.0,95.0
2026-06-22T17:16:46.436320,-3.3,100.0,95.0
2026-06-22T17:16:48.422139,-3.3,100.0,95.0
2026-06-22T17:16:50.423957,-3.3,100.0,95.0
2026-06-22T17:16:52.409641,-3.3,100.0,95.0
2026-06-22T17:16:54.443433,-3.3,100.0,95.0
2026-06-22T17:16:56.429235,-3.3,100.0,95.0
2026-06-22T17:16:58.447063,-3.3,100.0,95.0
2026-06-22T17:17:00.448866,-3.3,100.0,95.0
2026-06-22T17:17:02.466980,-3.3,100.0,95.0
2026-06-22T17:17:04.436482,-3.3,100.0,95.0
2026-06-22T17:17:06.454130,-3.3,100.0,95.0
2026-06-22T17:17:08.456020,-3.3,100.0,95.0
2026-06-22T17:17:10.473855,-3.3,100.0,95.0
2026-06-22T17:17:12.475589,-3.3,100.0,95.0
2026-06-22T17:17:14.493251,-3.3,100.0,95.0
2026-06-22T17:17:16.495256,-3.3,100.0,95.0
2026-06-22T17:17:18.512880,-3.3,100.0,95.0
2026-06-22T17:17:20.482504,-3.3,100.0,95.0
2026-06-22T17:17:22.500561,-3.3,100.0,95.0
2026-06-22T17:17:24.502158,-3.3,100.0,95.0
2026-06-22T17:17:26.519883,-3.3,100.0,95.0
2026-06-22T17:17:28.505609,-3.3,100.0,95.0
2026-06-22T17:17:30.507467,-3.3,100.0,95.0
